Region/Country/Area,Name,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1995,GDP in current prices (millions of US dollars),"31,140,783",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2005,GDP in current prices (millions of US dollars),"47,623,151",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2010,GDP in current prices (millions of US dollars),"66,272,559",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2015,GDP in current prices (millions of US dollars),"74,985,744",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2017,GDP in current prices (millions of US dollars),"81,056,929",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2018,GDP in current prices (millions of US dollars),"86,115,347",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2019,GDP in current prices (millions of US dollars),"87,445,261",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",1995,GDP per capita (US dollars),"5,423",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2005,GDP per capita (US dollars),"7,282",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2010,GDP per capita (US dollars),"9,529",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2015,GDP per capita (US dollars),"10,163",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2017,GDP per capita (US dollars),"10,742",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2018,GDP per capita (US dollars),"11,288",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2019,GDP per capita (US dollars),"11,339",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",1995,GDP in constant 2010 prices (millions of US dollars),"40,269,916",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2005,GDP in constant 2010 prices (millions of US dollars),"56,427,035",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2010,GDP in constant 2010 prices (millions of US dollars),"64,773,605",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2015,GDP in constant 2010 prices (millions of US dollars),"74,985,744",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
1,"Total, all countries or areas",2017,GDP in constant 2010 prices (millions of US dollars),"79,596,968",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
